epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3891,2.05932,3.24775,2.84248,0.6634,0.64278,0.55122,0.38267,1.06566,1.91273,2.25186,0.0002625,0.0002625,0.0002625
2,159.972,1.22693,1.8372,2.32288,0.87416,0.6144,0.68091,0.51488,0.88408,1.53156,1.92316,0.000526857,0.000526857,0.000526857
3,236.753,0.97258,1.27259,2.13248,0.70243,0.73798,0.69557,0.53188,0.86543,1.16471,1.69603,0.000780325,0.000780325,0.000780325
4,314.098,0.87896,1.1399,2.07004,0.67035,0.806,0.70539,0.56119,0.70279,0.95197,1.84844,0.0010229,0.0010229,0.0010229
5,389.579,0.85009,0.99494,2.15463,0.81589,0.82209,0.81381,0.65227,0.69477,0.91595,1.74712,0.001151,0.001151,0.001151
6,463.776,0.81883,0.91377,2.0894,0.81279,0.83101,0.82635,0.6661,0.71519,0.81798,1.71288,0.00112625,0.00112625,0.00112625
7,537.756,0.82187,0.91522,2.11507,0.84334,0.7991,0.81892,0.66519,0.65597,0.72944,1.68351,0.0011015,0.0011015,0.0011015
8,611.472,0.79972,0.85031,2.03491,0.81986,0.81722,0.83629,0.66326,0.62192,0.68061,1.63613,0.00107675,0.00107675,0.00107675
9,685.653,0.73988,0.83866,2.03787,0.8312,0.8875,0.88541,0.69064,0.695,0.66057,1.69073,0.001052,0.001052,0.001052
10,759.455,0.71279,0.74445,2.0169,0.87147,0.822,0.85003,0.68498,0.60781,0.59638,1.67525,0.00102725,0.00102725,0.00102725
11,832.542,0.67883,0.73153,1.93601,0.8551,0.83512,0.85213,0.70649,0.60018,0.5949,1.61813,0.0010025,0.0010025,0.0010025
12,905.044,0.6596,0.70041,2.00445,0.85125,0.89344,0.88259,0.71882,0.60238,0.5967,1.67979,0.00097775,0.00097775,0.00097775
13,978.839,0.66442,0.67892,1.96501,0.87855,0.8775,0.87288,0.69877,0.5687,0.55211,1.65492,0.000953,0.000953,0.000953
14,1052.99,0.64527,0.67791,1.95271,0.85784,0.89976,0.88339,0.71782,0.56869,0.53331,1.62771,0.00092825,0.00092825,0.00092825
15,1126.71,0.6272,0.65817,1.95575,0.86449,0.89443,0.8871,0.73887,0.52811,0.53346,1.63773,0.0009035,0.0009035,0.0009035
16,1200.52,0.6309,0.64212,1.97451,0.83074,0.85071,0.8693,0.72834,0.55048,0.55301,1.62631,0.00087875,0.00087875,0.00087875
17,1274.41,0.62659,0.64979,1.85597,0.86491,0.87524,0.88796,0.72393,0.55378,0.55422,1.60739,0.000854,0.000854,0.000854
18,1347.73,0.6134,0.63122,1.99512,0.88741,0.88233,0.90821,0.75838,0.54156,0.52619,1.67163,0.00082925,0.00082925,0.00082925
19,1420.84,0.60508,0.62341,1.89206,0.84881,0.90869,0.89949,0.74207,0.57706,0.51877,1.62926,0.0008045,0.0008045,0.0008045
20,1494.6,0.63004,0.63821,1.98495,0.88733,0.86537,0.89911,0.76566,0.57672,0.54679,1.64032,0.00077975,0.00077975,0.00077975
21,1570.17,0.57468,0.57224,1.87361,0.86756,0.90291,0.9095,0.77003,0.53947,0.50174,1.6076,0.000755,0.000755,0.000755
22,1642.67,0.55978,0.585,1.9188,0.90344,0.86694,0.90374,0.74115,0.53009,0.49482,1.5784,0.00073025,0.00073025,0.00073025
23,1716.26,0.59036,0.62037,1.91202,0.87739,0.92288,0.91038,0.7707,0.47541,0.46616,1.58865,0.0007055,0.0007055,0.0007055
24,1789.91,0.5789,0.60529,1.9426,0.88785,0.90823,0.91394,0.7826,0.48258,0.49081,1.61597,0.00068075,0.00068075,0.00068075
25,1863.86,0.5866,0.56397,1.92275,0.89222,0.89351,0.91141,0.74778,0.56682,0.50931,1.6349,0.000656,0.000656,0.000656
26,1937.94,0.55722,0.55769,1.88115,0.9054,0.88393,0.92054,0.78259,0.49055,0.45321,1.59892,0.00063125,0.00063125,0.00063125
27,2012.08,0.55497,0.53557,1.91414,0.87525,0.89515,0.90606,0.77058,0.49099,0.47848,1.59098,0.0006065,0.0006065,0.0006065
28,2086.45,0.56028,0.55284,1.91347,0.86286,0.87438,0.89406,0.75792,0.52534,0.46953,1.58331,0.00058175,0.00058175,0.00058175
29,2160.49,0.54087,0.57521,1.91829,0.88315,0.89715,0.91033,0.77855,0.44791,0.44362,1.59365,0.000557,0.000557,0.000557
30,2234.97,0.53131,0.54266,1.91346,0.85428,0.91141,0.90532,0.76257,0.50406,0.4437,1.59387,0.00053225,0.00053225,0.00053225
31,2309.45,0.52279,0.50697,1.86957,0.85932,0.91081,0.90902,0.78535,0.46767,0.45295,1.60199,0.0005075,0.0005075,0.0005075
32,2383.48,0.52366,0.54655,1.91895,0.89891,0.82202,0.8846,0.75814,0.48667,0.52171,1.56766,0.00048275,0.00048275,0.00048275
33,2457.88,0.55012,0.55797,1.86928,0.90664,0.88437,0.9131,0.77936,0.49444,0.45609,1.57379,0.000458,0.000458,0.000458
34,2533.43,0.53721,0.5298,1.8406,0.85737,0.92478,0.90944,0.79097,0.47897,0.47017,1.57741,0.00043325,0.00043325,0.00043325
35,2606.59,0.49344,0.50397,1.91625,0.90387,0.89316,0.92175,0.79347,0.46381,0.42355,1.58244,0.0004085,0.0004085,0.0004085
36,2680.57,0.54547,0.52371,1.81156,0.90138,0.90202,0.91734,0.80046,0.48973,0.44564,1.5886,0.00038375,0.00038375,0.00038375
37,2754.74,0.5178,0.52647,1.84893,0.86274,0.93301,0.91082,0.78731,0.46212,0.43925,1.57748,0.000359,0.000359,0.000359
38,2828.88,0.49716,0.50397,1.84876,0.88689,0.90074,0.90477,0.78514,0.4276,0.43157,1.59359,0.00033425,0.00033425,0.00033425
39,2902.92,0.51114,0.49975,1.85972,0.88962,0.90655,0.9094,0.7862,0.44083,0.45427,1.57494,0.0003095,0.0003095,0.0003095
40,2977.3,0.50053,0.47884,1.85484,0.8672,0.92867,0.90152,0.78722,0.46358,0.44846,1.58356,0.00028475,0.00028475,0.00028475
41,3050.81,0.50867,0.52995,1.88558,0.87722,0.90965,0.89439,0.78305,0.44324,0.48698,1.55418,0.00026,0.00026,0.00026
42,3123.85,0.54429,0.54817,1.87434,0.8953,0.92911,0.91201,0.79382,0.41816,0.41344,1.58682,0.00023525,0.00023525,0.00023525
43,3196.66,0.51463,0.51481,1.93859,0.9054,0.93029,0.92019,0.79978,0.45311,0.42019,1.60153,0.0002105,0.0002105,0.0002105
44,3270.17,0.50692,0.4964,1.903,0.89848,0.91488,0.91851,0.80931,0.4303,0.42141,1.57233,0.00018575,0.00018575,0.00018575
45,3343.29,0.48232,0.50746,1.90149,0.88421,0.92655,0.92018,0.82064,0.43804,0.40812,1.59715,0.000161,0.000161,0.000161
46,3416.23,0.47414,0.4785,1.90676,0.89298,0.91321,0.91286,0.81304,0.41963,0.41803,1.59352,0.00013625,0.00013625,0.00013625
47,3489.41,0.44664,0.45313,1.87115,0.89022,0.90719,0.91121,0.81053,0.4052,0.40289,1.584,0.0001115,0.0001115,0.0001115
48,3563.38,0.43658,0.45019,1.92598,0.86517,0.93376,0.91094,0.80937,0.41406,0.39325,1.58561,8.675e-05,8.675e-05,8.675e-05
49,3636.08,0.47898,0.44943,1.91193,0.86359,0.93723,0.91373,0.80901,0.41402,0.38941,1.57747,6.2e-05,6.2e-05,6.2e-05
50,3708.67,0.44832,0.44347,1.91288,0.86394,0.93174,0.91029,0.80737,0.41204,0.38953,1.57693,3.725e-05,3.725e-05,3.725e-05
